state,haunted_encounter_count,visual evidence
California,1100,0.024545454545454544
Texas,711,0.02812939521800281
Pennsylvania,649,0.02773497688751926
Michigan,559,0.05366726296958855
Ohio,477,0.023060796645702306
New York,459,0.02832244008714597
Illinois,395,0.053164556962025315
Indiana,381,0.03412073490813648
Massachusetts,372,0.024193548387096774
Kentucky,370,0.03513513513513514
Florida,328,0.04573170731707317
Missouri,314,0.041401273885350316
Georgia,289,0.04844290657439446
Wisconsin,274,0.040145985401459854
Alabama,224,0.026785714285714284
Tennessee,221,0.05429864253393665
Washington,218,0.022935779816513763
North Carolina,211,0.018957345971563982
Oklahoma,211,0.05687203791469194
New Jersey,194,0.041237113402061855
Virginia,192,0.015625
Connecticut,185,0.0972972972972973
South Carolina,183,0.03825136612021858
Maryland,170,0.023529411764705882
Iowa,169,0.005917159763313609
Colorado,166,0.04819277108433735
Minnesota,162,0.012345679012345678
Arizona,156,0.04487179487179487
Oregon,155,0.03870967741935484
Utah,134,0.06716417910447761
Kansas,123,0.032520325203252036
Arkansas,119,0.025210084033613446
Nebraska,111,0.018018018018018018
West Virginia,106,0.03773584905660377
Louisiana,99,0.050505050505050504
Hawaii,96,0.010416666666666666
New Mexico,78,0.0641025641025641
Wyoming,76,0.039473684210526314
South Dakota,75,0.04
New Hampshire,72,0.027777777777777776
Rhode Island,68,0.04411764705882353
Idaho,66,0.015151515151515152
Vermont,63,0.031746031746031744
Mississippi,63,0.0
North Dakota,58,0.034482758620689655
Maine,57,0.03508771929824561
Nevada,56,0.017857142857142856
Montana,42,0.0
Delaware,37,0.05405405405405406
Alaska,32,0.0
Washington DC,16,0.0
