State,Cause Name,Year,Deaths,Age-adjusted Death Rate
United States,Unintentional injuries,2017,169936,49.4
Alabama,Unintentional injuries,2017,2703,53.8
Alaska,Unintentional injuries,2017,436,63.7
Arizona,Unintentional injuries,2017,4184,56.2
Arkansas,Unintentional injuries,2017,1625,51.8
California,Unintentional injuries,2017,13840,33.2
Colorado,Unintentional injuries,2017,3037,53.6
Connecticut,Unintentional injuries,2017,2078,53.2
Delaware,Unintentional injuries,2017,608,61.9
District of Columbia,Unintentional injuries,2017,427,61.0
Florida,Unintentional injuries,2017,13059,56.1
Georgia,Unintentional injuries,2017,4712,45.2
Hawaii,Unintentional injuries,2017,585,35.7
Idaho,Unintentional injuries,2017,876,49.8
Illinois,Unintentional injuries,2017,6019,44.4
Indiana,Unintentional injuries,2017,3978,58.7
Iowa,Unintentional injuries,2017,1536,42.8
Kansas,Unintentional injuries,2017,1567,49.4
Kentucky,Unintentional injuries,2017,3264,72.9
Louisiana,Unintentional injuries,2017,2780,58.9
Maine,Unintentional injuries,2017,990,68.0
Maryland,Unintentional injuries,2017,2408,36.9
Massachusetts,Unintentional injuries,2017,3821,51.5
Michigan,Unintentional injuries,2017,5623,53.0
Minnesota,Unintentional injuries,2017,2788,44.6
Mississippi,Unintentional injuries,2017,1738,56.3
Missouri,Unintentional injuries,2017,3776,58.8
Montana,Unintentional injuries,2017,579,50.2
Nebraska,Unintentional injuries,2017,811,38.5
Nevada,Unintentional injuries,2017,1496,47.8
New Hampshire,Unintentional injuries,2017,907,62.9
New Jersey,Unintentional injuries,2017,4482,47.3
New Mexico,Unintentional injuries,2017,1460,68.3
New York,Unintentional injuries,2017,7687,35.5
North Carolina,Unintentional injuries,2017,5985,56.3
North Dakota,Unintentional injuries,2017,339,41.3
Ohio,Unintentional injuries,2017,8971,75.1
Oklahoma,Unintentional injuries,2017,2563,62.5
Oregon,Unintentional injuries,2017,2076,44.8
Pennsylvania,Unintentional injuries,2017,9527,70.2
Rhode Island,Unintentional injuries,2017,718,60.0
South Carolina,Unintentional injuries,2017,3147,60.2
South Dakota,Unintentional injuries,2017,537,56.1
Tennessee,Unintentional injuries,2017,4435,63.0
Texas,Unintentional injuries,2017,10763,38.8
Utah,Unintentional injuries,2017,1238,44.2
Vermont,Unintentional injuries,2017,394,56.9
Virginia,Unintentional injuries,2017,3922,44.0
Washington,Unintentional injuries,2017,3455,44.0
West Virginia,Unintentional injuries,2017,1892,100.3
Wisconsin,Unintentional injuries,2017,3746,58.3
Wyoming,Unintentional injuries,2017,348,56.9
United States,All causes,2017,2813503,731.9
Alabama,All causes,2017,53238,917.7
Alaska,All causes,2017,4411,708.8
Arizona,All causes,2017,57758,678.5
Arkansas,All causes,2017,32588,900.1
California,All causes,2017,268189,618.7
Colorado,All causes,2017,38063,663.4
Connecticut,All causes,2017,31312,651.2
Delaware,All causes,2017,9178,749.6
District of Columbia,All causes,2017,4965,725.4
Florida,All causes,2017,203636,672.1
Georgia,All causes,2017,83098,793.7
Hawaii,All causes,2017,11390,584.9
Idaho,All causes,2017,14011,741.8
Illinois,All causes,2017,109721,724.2
Indiana,All causes,2017,65597,848.6
Iowa,All causes,2017,30530,737.0
Kansas,All causes,2017,27063,771.2
Kentucky,All causes,2017,48212,929.9
