State,city,longitude,latitude,city_longitude,city_latitude,Haunted Places Date,final_longitude,final_latitude,Daylight Data USNO Navy,Daylight Data TimeandDate
Alabama,Adamsville,-86.9333123,33.5945201,-86.9561059,33.6009389,1/14/2013,-86.9333123,33.5945201,10:10,No data found
Alabama,Adamsville,,,-86.9561059,33.6009389,1/1/2025,-86.9561059,33.6009389,09:59,No data found
Alabama,Alabaster,-86.8258926,33.2313558,-86.8163773,33.2442813,1/1/2025,-86.8258926,33.2313558,10:00,No data found
Alabama,Albertville,-86.206151,34.260159,-86.2088669,34.2675937,9/22/2006,-86.206151,34.260159,12:09,No data found
Alabama,Albertville,-86.2032138,34.2640414,-86.2088669,34.2675937,3/1/1900,-86.2032138,34.2640414,11:27,No data found
Alabama,Albertville,,,-86.2088669,34.2675937,3/1/2025,-86.2088669,34.2675937,11:28,No data found
Alabama,Albertville,-86.2820725,34.2826266,-86.2088669,34.2675937,1/1/2025,-86.2820725,34.2826266,09:55,No data found
Alabama,Albertville,,,-86.2088669,34.2675937,3/1/1900,-86.2088669,34.2675937,11:27,No data found
Alabama,Albertville,-85.4300615,31.2043496,-86.2088669,34.2675937,1/1/2025,-85.4300615,31.2043496,10:10,No data found
Alabama,Andalusia,-86.5439043,31.3066136,-86.4832913,31.3085039,1/1/2025,-86.5439043,31.3066136,10:10,No data found
Alabama,Anniston,-85.8201258,33.6609605,-85.8316318,33.6598257,3/1/2001,-85.8201258,33.6609605,11:29,No data found
Alabama,Anniston,-85.7854746,33.6436714,-85.8316318,33.6598257,6/1/2008,-85.7854746,33.6436714,14:14,No data found
Alabama,Anniston,-85.8257444,33.6607041,-85.8316318,33.6598257,1/1/2025,-85.8257444,33.6607041,09:58,No data found
Alabama,Anniston,-85.8235966,33.6682403,-85.8316318,33.6598257,1/1/2025,-85.8235966,33.6682403,09:58,No data found
Alabama,Anniston,-85.8277193,33.665503,-85.8316318,33.6598257,1/1/2025,-85.8277193,33.665503,09:58,No data found
Alabama,Ash Land,-85.8263932,33.2757978,-85.8360741,33.2737256,3/1/1972,-85.8263932,33.2757978,11:29,11:17
Alabama,Ashland,,,-85.8360741,33.2737256,1/1/2025,-85.8360741,33.2737256,10:00,9:17
Alabama,Ashville,-86.4721524,33.7292582,-86.2544223,33.8370433,1/1/2025,-86.4721524,33.7292582,09:58,No data found
Alabama,Athens,-86.9650947,34.8054077,-86.9716741,34.8028661,1/1/2025,-86.9650947,34.8054077,09:53,9:56
Alabama,Athens,-86.9650947,34.8054077,-86.9716741,34.8028661,1/1/2025,-86.9650947,34.8054077,09:53,9:56
Alabama,Attalla,-86.1161661,33.9832721,-86.0885852,34.0217639,1/1/2000,-86.1161661,33.9832721,09:56,No data found
Alabama,Auburn,-85.4807773,32.6101984,-85.4807825,32.6098566,3/19/2025,-85.4807773,32.6101984,12:06,12:06
Alabama,Auburn,-85.4814237,32.6044265,-85.4807825,32.6098566,1/1/2025,-85.4814237,32.6044265,10:04,10:03
Alabama,Bankhead Forrest,-71.1631137,42.7070354,-87.3508357,34.2282018,1/1/2025,-71.1631137,42.7070354,09:07,No data found
Alabama,Bay Minette,-87.776698,30.8821129,-87.7730474,30.8829628,3/1/1900,-87.776698,30.8821129,11:31,No data found
Alabama,Bayview,-86.9730203,33.5560311,-86.9736056,33.5587173,1/1/2025,-86.9730203,33.5560311,09:59,No data found
Alabama,Bayview/Birmingham,-86.9736056,33.5587173,-86.9736056,33.5587173,3/1/2025,-86.9736056,33.5587173,11:29,No data found
Alabama,Bayview/Jefferson,-86.9736056,33.5587173,-86.9736056,33.5587173,7/17/2010,-86.9736056,33.5587173,14:08,No data found
Alabama,Bayou La Batre,-88.247001,30.39353,-88.2607188,30.4069515,9/13/2005,-88.247001,30.39353,12:25,No data found
Alabama,Bayou La Batre,,,-88.2607188,30.4069515,1/1/2025,-88.2607188,30.4069515,10:14,No data found
Alabama,Bellville,,,-87.109144,31.4298882,5/1/2008,-87.109144,31.4298882,13:25,No data found
Alabama,Birmingham,-86.7114545,33.6523096,-86.80249,33.5206608,5/2/2016,-86.7114545,33.6523096,13:34,13:33
Alabama,Birmingham,-86.6725981,33.5745935,-86.80249,33.5206608,1/1/2025,-86.6725981,33.5745935,09:59,9:59
Alabama,Birmingham,-86.807833,33.5210694,-86.80249,33.5206608,3/19/2025,-86.807833,33.5210694,12:07,12:06
Alabama,Birmingham,,,-86.80249,33.5206608,3/1/1970,-86.80249,33.5206608,11:28,11:27
Alabama,Birmingham,-86.6783661,33.468268,-86.80249,33.5206608,1/1/1925,-86.6783661,33.468268,09:59,9:58
Alabama,Birmingham,-86.7910608,33.5206505,-86.80249,33.5206608,1/1/2025,-86.7910608,33.5206505,09:59,9:59
Alabama,Bonneville,-83.6696327,37.4738789,-86.9358392,34.8464764,1/1/2025,-83.6696327,37.4738789,09:38,No data found
Alabama,Boulder,-105.2887452,40.0144593,-86.6078955,33.6395906,1/1/2025,-105.2887452,40.0144593,09:24,9:23
Alabama,Brewton,-87.0711291,31.1066592,-87.0721918,31.1051779,3/5/2025,-87.0711291,31.1066592,11:40,11:39
Alabama,Camax,-88.1266681,30.6704936,-86.829447,33.359879,1/1/1950,-88.1266681,30.6704936,10:12,No data found
Alabama,Camp Hill,-85.85484,32.6603885,-85.6535659,32.8004059,1/1/2025,-85.85484,32.6603885,10:03,No data found
Alabama,Cardiff,-86.9319713,33.6550771,-86.9336061,33.6456604,1/1/2025,-86.9319713,33.6550771,09:58,No data found
Alabama,Carleton,35.7252775,31.768332,-87.5238411,33.2718031,3/2/2025,35.7252775,31.768332,11:33,No data found
Alabama,Carrollton,-88.0954166,33.2634174,-88.0950263,33.2617871,6/1/1921,-88.0954166,33.2634174,14:12,14:10
Alabama,Clanton,,,-86.6294262,32.8387371,1/1/2025,-86.6294262,32.8387371,10:02,No data found
Alabama,Clanton,,,-86.6294262,32.8387371,1/1/2025,-86.6294262,32.8387371,10:02,No data found
Alabama,Capper Center,-145.1807268,61.6618618,,,3/1/2023,-145.1807268,61.6618618,10:20,No data found
Alabama,Columbiana,-86.6072045,33.1771482,-86.6072054,33.1781718,9/1/2025,-86.6072045,33.1771482,12:51,No data found
Alabama,Culavista,,,-86.3666467,33.595659,3/2/2025,-86.3666467,33.595659,11:31,No data found
Alabama,Cullman,-86.8179996,34.177184,-86.8436124,34.1748208,1/1/2025,-86.8179996,34.177184,09:56,No data found
Alabama,Cullman,-86.8671293,34.2429261,-86.8436124,34.1748208,1/1/2025,-86.8671293,34.2429261,09:55,No data found
Alabama,Cullman,-86.846002,34.150907,-86.8436124,34.1748208,1/1/2025,-86.846002,34.150907,09:56,No data found
Alabama,Dauphin Island,-88.0757433,30.2481819,-88.1124155,30.2542565,1/1/2025,-88.0757433,30.2481819,10:15,No data found
Alabama,Dauphin Island,-88.1073229,30.2576735,-88.1124155,30.2542565,5/1/2025,-88.1073229,30.2576735,13:21,No data found
Alabama,Decatur,-86.9739962,34.5939327,-86.9833417,34.6059253,1/1/2025,-86.9739962,34.5939327,09:54,9:24
Alabama,Decatur,,,-86.9833417,34.6059253,1/1/2025,-86.9833417,34.6059253,09:54,9:24
