,state_abbrev,longitude,latitude,city_longitude,city_latitude,State,Month,Year,Murder,Rape,Robbery,Aggravated Assault,Burglary,Theft,Motor Vehicle Theft,Violent Crime,Property Crime,Murder_mvs_12mo,Burglary_mvs_12mo,Rape_mvs_12mo,Robbery_mvs_12mo,Aggravated Assault_mvs_12mo,Motor Vehicle Theft_mvs_12mo,Theft_mvs_12mo,Violent Crime_mvs_12mo,Property Crime_mvs_12mo,FBI.Population.Covered,Number.of.Agencies,Latitude,Longitude,Murder per capita,Rape per capita,Robbery per capita,Aggravated Assault per capita,Burglary per capita,Theft per capita,Motor Vehicle Theft per capita,Violent Crime per capita,Property Crime per capita
0,AK,-4014.0251655,1671.4257869,-4736.5613886,1977.5255561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AL,-15984.2165104,6249.4022536,-19247.227807,7370.1276332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AR,-9105.8030166,3479.8140577,-10819.6647084,4105.9877288,AR,546.0,169764.0,387.0,1349.0,2840.0,19781.0,12746.0,58328.0,7137.0,24357.0,78211.0,4745.0,155439.0,16011.0,34127.0,235588.0,86477.0,712401.0,290471.0,954317.0,17050824.0,84.0,0.0,0.0,2.2696850310577365e-05,7.91164110309273e-05,0.000166560865328268,0.0011601198862881935,0.0007475298554486282,0.0034208317439673296,0.00041857214642529884,0.001428494012957966,0.0045869337458412564
3,AZ,-16004.0321957,4788.6230946,-17363.3433726,5184.4755432,AZ,546.0,169764.0,2303.0,17665.0,32091.0,97062.0,111935.0,634831.0,103946.0,149121.0,850712.0,27832.0,1417973.0,213978.0,400434.0,1145903.0,1243905.0,7791696.0,1788147.0,10453574.0,418654908.0,1512.0,0.0,0.0,5.500950677974615e-06,4.219465641616221e-05,7.665263057181214e-05,0.00023184249878661402,0.00026736817808905276,0.0015163586712328714,0.00024828563576758544,0.000356190736452563,0.0020320124850895095
4,CA,-119422.8216551,35498.2307894,-127486.3642818,37800.361817,CA,546.0,169764.0,4746.0,18661.0,71980.0,143771.0,200142.0,839039.0,260931.0,239158.0,1300112.0,57120.0,2442561.0,225072.0,879528.0,1695255.0,3135552.0,10244081.0,2856975.0,15822194.0,879187008.0,2100.0,0.0,0.0,5.39816894109518e-06,2.122529089965806e-05,8.187109152550171e-05,0.00016352721172149077,0.0002276444012239089,0.0009543350758886556,0.00029678668773049023,0.0002720217630877457,0.0014787661648430546
5,CO,-15485.2608379,5908.4041766,-17450.7362424,6536.2852806,CO,546.0,169764.0,1514.0,18666.0,23231.0,93995.0,101210.0,521206.0,172975.0,137406.0,795391.0,18046.0,1216100.0,226487.0,279697.0,1090079.0,2045038.0,6237579.0,1614309.0,9498717.0,256185552.0,1428.0,0.0,0.0,5.909779018295302e-06,7.286125175396309e-05,9.068036748614144e-05,0.0003669020335697932,0.00039506521429436426,0.0020344863163868038,0.0006751942045506141,0.000536353431828193,0.0031047457352317825
6,CT,-12854.5807334,7298.8672314,-13486.5207732,7681.1903608,CT,546.0,169764.0,531.0,2407.0,7943.0,14432.0,19152.0,131854.0,29997.0,25313.0,181003.0,6511.0,240430.0,29523.0,102414.0,179719.0,358906.0,1616388.0,318167.0,2215724.0,108813768.0,1344.0,0.0,0.0,4.879897183599046e-06,2.2120362562943323e-05,7.299627745636012e-05,0.00013263027524237559,0.00017600713909658933,0.0012117400437782837,0.00027567283581246815,0.00023262681244527806,0.001663420018687341
7,DC,-1232.3341738,622.3294466,-1232.5899312,622.5150768,DC,546.0,169764.0,1410.0,1360.0,15949.0,10347.0,8457.0,150186.0,26979.0,29066.0,185622.0,16514.0,103757.0,17267.0,192011.0,128570.0,307723.0,1824471.0,354362.0,2235951.0,57033648.0,84.0,0.0,0.0,2.472224817181605e-05,2.3845572704730373e-05,0.00027964194049098876,0.0001814192211587097,0.00014828088850287114,0.002633287633994585,0.0004730365485300888,0.0005096289825262449,0.003254605071027545
8,DE,-2214.8385584,1149.3978803,-2805.074449,1454.1367142000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FL,-24845.3018958,8606.1785518,-26762.548756099997,9248.9154781,FL,546.0,169764.0,33.0,640.0,1352.0,2095.0,4290.0,36666.0,3305.0,4120.0,44261.0,420.0,53173.0,7689.0,16647.0,25143.0,40527.0,449879.0,49899.0,543579.0,6621216.0,84.0,0.0,0.0,4.983978773687492e-06,9.66589822775756e-05,0.00020419210006137847,0.0003164071372992514,0.0006479172405793739,0.0055376535065462295,0.0004991530256677928,0.0006222421984118929,0.006684723772793396
